Time,Sensor1_X,Sensor1_Y,Sensor1_Z,Sensor1_RMS,Sensor2_X,Sensor2_Y,Sensor2_Z,Sensor2_RMS,Sensor3_X,Sensor3_Y,Sensor3_Z,Sensor3_RMS,Sensor4_X,Sensor4_Y,Sensor4_Z,Sensor4_RMS
0.4208052158355713,0.4,-0.34,9.65,9.664269242938133,0.4,-0.06,9.48,9.488624768637445,0.11,0.29,9.65,9.65498316932764,6.73,0.0,9.61,11.732220591175397
1.454439640045166,0.34,0.0,9.88,9.885848471426215,0.4,0.0,9.94,9.94804503407579,-0.17,0.34,9.65,9.657484144434305,7.21,0.0,9.61,12.014000166472448
2.4815421104431152,0.17,-0.23,9.42,9.4243408257554,0.57,-0.06,9.37,9.387512982680768,-0.57,0.29,9.6,9.621278501321953,7.21,-0.48,10.09,12.410584192535016
3.5066685676574707,0.34,0.06,9.65,9.656174190640929,0.52,-0.11,9.42,9.434982776878822,0.11,0.4,9.83,9.838749920594587,6.73,0.0,9.61,11.732220591175397
4.533091068267822,0.57,0.17,9.48,9.498642008203069,0.4,0.34,9.54,9.554433525855941,0.17,-0.06,9.31,9.311745271430055,7.69,0.0,9.13,11.937043184976757
5.5688910484313965,0.46,0.17,9.42,9.432756755053106,0.4,0.11,9.48,9.48907266280536,0.34,0.4,9.37,9.384694987052056,7.69,-0.48,10.09,12.69545587995957
6.589191198348999,0.4,0.06,9.71,9.718420653583587,0.4,0.52,9.71,9.732137483615817,0.11,0.46,9.48,9.491791190286477,7.21,0.0,9.13,11.63361508732346
7.615212917327881,0.57,-0.17,9.14,9.159334036926484,0.52,-0.17,9.6,9.615575905789523,0.23,0.52,9.77,9.7865315612836,8.17,0.0,10.09,12.982950358065766
8.63336443901062,0.34,-0.23,9.25,9.259103628321697,0.4,0.11,9.37,9.37917906855392,0.17,0.46,10.11,10.121887175818548,7.21,0.0,9.61,12.014000166472448
9.659173965454102,0.34,-0.06,9.37,9.376358568228925,0.29,0.06,9.25,9.254739326420815,-0.11,0.4,9.83,9.838749920594587,7.21,0.0,9.61,12.014000166472448
10.683174848556519,0.4,0.11,9.77,9.778803607803972,0.34,-0.4,9.37,9.384694987052056,0.23,0.4,9.83,9.840823136303182,6.73,0.0,10.09,12.128520107581139
11.70688247680664,0.34,0.06,9.54,9.54624533520902,0.46,0.0,9.65,9.660957509481138,-0.34,-0.11,9.77,9.776533127852634,7.69,-0.48,9.61,12.317410442134337
12.727050065994263,0.4,-0.11,9.6,9.608959360929777,0.57,-0.11,9.6,9.617536066997618,0.0,0.46,9.54,9.551083708145374,7.69,0.0,9.61,12.308054273523496
13.744653940200806,0.52,-0.17,9.77,9.785305309493413,0.92,0.17,9.19,9.237499661705,0.29,0.34,9.48,9.490526855765175,7.21,-0.48,10.09,12.410584192535016
