Time,Sensor1_X,Sensor1_Y,Sensor1_Z,Sensor1_RMS,Sensor2_X,Sensor2_Y,Sensor2_Z,Sensor2_RMS,Sensor3_X,Sensor3_Y,Sensor3_Z,Sensor3_RMS,Sensor4_X,Sensor4_Y,Sensor4_Z,Sensor4_RMS
0.5672974586486816,0.4,0.06,9.42,9.428679653058534,0.29,-0.06,9.48,9.484624399521575,-0.46,0.4,9.77,9.788998927367393,6.73,-0.48,10.09,12.138014664680547
1.592818021774292,0.34,0.17,9.42,9.427666731487701,0.4,-0.4,9.83,9.846263250594106,0.11,0.23,9.94,9.943269080136572,7.69,-0.48,9.61,12.317410442134337
2.6075241565704346,0.46,-0.11,9.54,9.551717123114566,0.4,0.06,9.31,9.318782109267284,0.0,0.57,10.23,10.24586745961512,7.21,0.0,9.13,11.63361508732346
3.6257758140563965,0.06,-0.23,9.6,9.602942257454222,0.4,-0.06,9.54,9.548570573651325,0.4,0.46,9.71,9.729116095514536,7.21,-0.48,9.61,12.023585155850979
4.638514280319214,0.4,0.29,9.88,9.892345525708249,0.4,0.17,10.11,10.119337923006624,-0.06,0.29,10.17,10.174310787468604,7.21,-0.48,9.61,12.023585155850979
5.65871000289917,0.34,0.17,9.77,9.777392290380906,0.29,-0.23,9.6,9.607132766856092,0.11,0.52,9.42,9.434982776878822,7.69,0.0,9.13,11.937043184976757
6.677269458770752,0.63,-0.11,9.54,9.561412029611526,0.23,-0.29,9.48,9.487222986733263,0.0,-0.06,9.6,9.600187498168982,7.69,0.0,9.61,12.308054273523496
7.6936681270599365,0.63,-0.29,9.37,9.395631963843623,0.29,-0.4,9.42,9.432947577507257,0.23,0.34,9.65,9.658726624146684,7.69,0.0,10.09,12.686378521863519
8.705917119979858,0.57,-0.06,8.85,8.868539902374009,0.34,-0.06,9.48,9.486284836541648,0.34,0.34,9.94,9.951622983212335,7.21,0.0,9.61,12.014000166472448
9.723750114440918,0.34,-0.17,9.25,9.257807515821442,0.4,0.11,9.71,9.718857957599752,0.11,0.46,9.77,9.781441611541725,7.21,-0.48,9.61,12.023585155850979
10.740832328796387,0.23,-0.4,9.6,9.611082145107282,0.63,-0.17,9.31,9.332839867907303,-0.11,0.46,9.77,9.781441611541725,7.21,-0.48,9.61,12.023585155850979
11.771377563476562,0.57,0.0,9.48,9.497120616271019,0.69,0.11,9.14,9.1666678787878,0.17,-0.06,10.0,10.0016248679902,7.69,-0.48,9.61,12.317410442134337
12.798216104507446,0.63,0.0,9.65,9.670542900995788,0.0,-0.34,9.65,9.655987779611158,-0.11,0.17,10.17,10.172015532823375,7.21,0.0,9.61,12.014000166472448
13.819267749786377,0.57,0.29,9.19,9.21222557257474,0.4,0.06,9.94,9.948225972503842,-0.8,0.29,9.48,9.518114309042522,7.21,-0.48,9.61,12.023585155850979
14.832191944122314,0.4,-0.17,9.54,9.549895287384045,0.4,-0.11,9.37,9.37917906855392,0.17,0.06,9.42,9.421724895155876,7.21,-0.48,9.61,12.023585155850979
15.845447778701782,0.46,-0.11,9.71,9.721512228043537,0.23,0.0,9.42,9.422807437276854,0.11,0.29,9.71,9.714952393089737,7.21,0.0,9.61,12.014000166472448
16.865341663360596,0.23,0.23,9.08,9.085824123325303,0.4,-0.29,9.6,9.61270513435214,0.11,0.29,9.48,9.485072482590736,7.69,-0.48,10.09,12.69545587995957
17.888077974319458,0.17,-0.17,9.54,9.543028869284635,0.4,-0.29,9.02,9.033520908261629,0.06,0.17,9.6,9.60169255912727,6.73,0.0,10.09,12.128520107581139
18.90562629699707,0.86,-0.34,9.54,9.584717001560348,0.4,-0.29,9.42,9.432947577507257,0.11,0.29,9.65,9.65498316932764,7.69,-0.48,9.61,12.317410442134337
