Time,Sensor1_X,Sensor1_Y,Sensor1_Z,Sensor1_RMS,Sensor2_X,Sensor2_Y,Sensor2_Z,Sensor2_RMS,Sensor3_X,Sensor3_Y,Sensor3_Z,Sensor3_RMS,Sensor4_X,Sensor4_Y,Sensor4_Z,Sensor4_RMS
0.40435004234313965,0.4,-0.23,8.96,8.971872714210786,0.57,-0.17,9.31,9.32898172363951,-0.17,0.17,9.83,9.832939540137527,0.0,0.0,0.0,0.0
1.4170165061950684,0.4,-0.34,9.19,9.204982346533859,0.4,-0.17,9.25,9.260205181312129,0.11,0.34,9.71,9.716573470107662,0.0,0.0,0.0,0.0
2.446263074874878,0.34,-0.4,9.77,9.784094235032693,0.8,-0.11,9.65,9.683728620732822,0.06,0.4,9.42,9.428679653058534,0.0,0.0,0.0,0.0
3.459158420562744,0.0,0.11,9.77,9.770619222956137,0.34,0.4,9.83,9.844008329943652,-0.17,0.17,9.71,9.712975857068729,0.0,0.0,0.0,0.0
4.487292766571045,0.46,0.34,9.14,9.15788185117061,0.52,-0.06,9.48,9.494440478511622,-0.06,0.34,9.83,9.836061203550942,0.0,0.0,0.0,0.0
5.508133888244629,0.63,-0.17,9.65,9.672037013990384,0.4,-0.06,9.54,9.548570573651325,-0.23,0.17,9.42,9.4243408257554,0.0,0.0,0.0,0.0
6.522704362869263,0.29,-0.23,9.42,9.427268957656825,0.57,0.0,9.65,9.666819539021095,0.29,0.4,9.71,9.722561390909291,0.0,0.0,0.0,0.0
7.549594163894653,0.23,-0.46,9.65,9.66369494551644,0.46,-0.52,10.0,10.024071029277476,0.06,0.17,9.71,9.711673388247775,0.0,0.0,0.0,0.0
8.57637357711792,0.46,0.0,9.25,9.261430774993679,1.03,-0.4,9.94,10.00122492497794,0.23,0.23,9.65,9.655480309130148,0.0,0.0,0.0,0.0
9.59359335899353,0.8,0.0,9.25,9.28453014427763,0.4,0.4,9.42,9.436969852659274,0.17,0.17,9.77,9.772957587138091,0.0,0.0,0.0,0.0
10.612870931625366,0.57,0.0,9.65,9.666819539021095,0.63,-0.29,9.88,9.90431219217165,-0.11,0.17,10.06,10.06203756701395,0.0,0.0,0.0,0.0
11.628599643707275,0.11,0.06,9.6,9.600817673510939,0.34,0.17,9.42,9.427666731487701,0.0,0.34,9.77,9.775914279493248,0.0,0.0,0.0,0.0
12.646782398223877,0.34,-0.06,9.71,9.716136063271245,0.63,0.06,9.54,9.560967524262384,0.0,0.4,9.6,9.60832971957145,0.0,0.0,0.0,0.0
13.663821458816528,0.23,0.17,9.19,9.194449412553206,0.23,0.11,9.19,9.1935357724871,0.11,0.29,9.71,9.714952393089737,0.0,0.0,0.0,0.0
14.683099746704102,0.34,0.11,9.65,9.656614313515892,0.46,-0.23,9.54,9.553852626035216,0.06,0.11,9.88,9.880794502467907,0.0,0.0,0.0,0.0
15.711577892303467,0.23,-0.23,9.71,9.715446464265037,0.23,-0.06,9.65,9.652927017231614,-0.17,0.23,9.65,9.654237411623976,0.0,0.0,0.0,0.0
16.740283489227295,0.0,-0.69,9.48,9.505077590425026,0.86,-0.17,9.65,9.689736838531788,-0.17,-0.11,9.71,9.712110996070834,0.0,0.0,0.0,0.0
17.755903244018555,0.46,-0.17,9.02,9.033321648208924,0.92,0.0,9.37,9.41505708957731,-0.11,0.63,10.11,10.130207302913401,0.0,0.0,0.0,0.0
18.787659168243408,1.09,-0.29,9.42,9.48728622947574,-0.69,-0.17,9.88,9.905523711545998,0.11,0.17,9.6,9.602135179219255,0.0,0.0,0.0,0.0
19.806379556655884,0.29,-0.34,9.37,9.380650297287495,0.11,-0.11,9.77,9.771238406670875,-0.06,0.23,9.94,9.942841646129137,-0.48,-0.48,-0.48,0.8313843876330611
20.833139896392822,0.4,-0.17,9.25,9.260205181312129,0.69,0.4,9.65,9.682902457424634,-0.17,0.0,9.71,9.711488042519541,0.0,0.0,0.0,0.0
21.852017164230347,0.46,-0.23,9.94,9.953295936522736,0.57,-0.23,10.0,10.01887219201842,-0.06,0.52,9.54,9.554349794727006,-0.48,-0.48,-0.48,0.8313843876330611
22.878103017807007,0.75,-0.34,9.42,9.455924069069082,0.4,-0.11,9.88,9.888705678702346,-0.34,0.23,9.65,9.658726624146684,-0.48,-0.48,-0.48,0.8313843876330611
